Date,Date_Format,Date_Time,Latitude,Longitude,Speed,Odometer,Battery_Level,Usable_Battery_Level,Charge_Energy_Added,Power,Heading,Elevation,Inside_Temp,Outside_Temp,Fan_Status,Climate_On,Is_Climate_On
2026-08-01 12:00:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:00:00,52.521,13.4065,50,12500.8,79,79,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:01:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:01:00,52.522,13.408,50,12501.6,79,79,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:02:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:02:00,52.523,13.4095,50,12502.4,79,79,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:03:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:03:00,52.524,13.411,50,12503.2,79,79,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:04:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:04:00,52.525,13.4125,50,12504.0,78,78,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:05:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:05:00,52.526,13.414,50,12504.8,78,78,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:06:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:06:00,52.527,13.4155,50,12505.6,78,78,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:07:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:07:00,52.528,13.417,50,12506.4,78,78,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:08:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:08:00,52.529,13.4185,50,12507.2,78,78,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 12:09:00,YYYY-MM-DD HH:MM:SS,2026-08-01 12:09:00,52.53,13.42,50,12508.0,77,77,0.0,-15.0,45,45,21.5,24.0,1,0,0
2026-08-01 13:00:00,YYYY-MM-DD HH:MM:SS,2026-08-01 13:00:00,52.53,13.42,0,12508.0,79,79,0.0,11.0,45,45,22.0,22.0,0,0,0
2026-08-01 13:01:00,YYYY-MM-DD HH:MM:SS,2026-08-01 13:01:00,52.53,13.42,0,12508.0,80,80,1.1,11.0,45,45,22.0,22.0,0,0,0
2026-08-01 13:02:00,YYYY-MM-DD HH:MM:SS,2026-08-01 13:02:00,52.53,13.42,0,12508.0,82,82,2.2,11.0,45,45,22.0,22.0,0,0,0
2026-08-01 13:03:00,YYYY-MM-DD HH:MM:SS,2026-08-01 13:03:00,52.53,13.42,0,12508.0,83,83,3.3,11.0,45,45,22.0,22.0,0,0,0
2026-08-01 13:04:00,YYYY-MM-DD HH:MM:SS,2026-08-01 13:04:00,52.53,13.42,0,12508.0,85,85,4.4,11.0,45,45,22.0,22.0,0,0,0
